gene,spearman_rho,p_value,q_value
Mfng,-0.05566451031841459,0.00019296830811339633,0.00036966893908932613
Rhoc,-0.0554746839029626,0.00020295036203495987,0.00038841516528859214
Msr1,-0.055422631222105515,0.0002057711125813241,0.00039343277521593597
Kpna2,-0.055370574722230774,0.00020862885601974566,0.000398511351063804
Tmem86a,-0.05525590196878221,0.00021505601882132675,0.00041039164981637353
Uap1l1,-0.055143274483005225,0.00022154909561924866,0.0004223746982056457
TrnE,-0.05511268354381753,0.00022334420486822793,0.00042538679482127806
Acss2,-0.05509584017825649,0.00022433840920723744,0.00042686913859740945
Mki67,-0.054977700252163114,0.00023142938759686466,0.00043993836469134756
Gngt2,-0.054972904913066556,0.00023172160660131676,0.0004400707168595612
Bicc1,-0.05495264676519018,0.0002329599245299109,0.00044199786064840103
Rsad2,-0.05483186507331231,0.00024047272937532634,0.0004558145598993482
Tpt1,0.05462598127131729,0.00025380518200988217,0.00048062533030032283
Wiz,-0.0544394420706935,0.0002664803621821259,0.0005041451445302037
Bgn,-0.05429250120294227,0.0002768799980959248,0.0005233190786191619
Gas5,-0.054271438597093685,0.0002784014752111607,0.0005256921838514467
C330027C09Rik,-0.054154270535979696,0.0002870091766670233,0.0005414285708689934
Rhbdl2,-0.05411913638422438,0.0002896384755512745,0.0005458677465823352
Ppap2c,-0.05408969891700127,0.0002918588076165481,0.0005495284406265863
Gm11346,-0.05405491805566038,0.0002945027066090788,0.0005539789257527582
TrnT,-0.054031202807963134,0.0002963182838013399,0.0005563907047335845
Gpx7,-0.05403081963138064,0.0002963477046456573,0.0005563907047335845
Apol11b,-0.053982804324009925,0.0003000561104974549,0.000562818719595321
Glipr2,-0.053775698484752006,0.0003165551086332228,0.0005932032699221626
Wbp5,-0.05375931916934287,0.0003178955481985813,0.000595151040519503
Wfdc17,-0.053580383669753304,0.00033288923134943766,0.0006226319871124298
Sla,-0.05352347207234445,0.00033779505791200473,0.0006312106138866099
Vcam1,-0.053446308196362514,0.00034455470291298114,0.0006432338504806078
Arl15,-0.05336836851026731,0.0003515105600864808,0.0006556003559348798
Slc3a1,-0.053277994140664045,0.0003597404938088757,0.0006703175836570662
Calm2,0.05327038440070362,0.00036044163367784617,0.0006709916287957645
Kifc1,-0.05325244751705462,0.00036209934457483785,0.0006734434658743692
Itih5,-0.053127733370519375,0.000373823845202617,0.0006945956221480957
BC021891,-0.0528079567071903,0.00040552741607254776,0.0007527959639205886
Oip5,-0.0526736838391188,0.0004195738518962941,0.0007781402487795247
Htra3,-0.05264941973668219,0.0004221601048865109,0.0007822029309846599
Steap2,-0.052589516907327064,0.00042860886380357866,0.0007934079810296583
Sqstm1,-0.05230493259922944,0.00046052079804103946,0.0008516834590525117
Maged2,-0.05224780575409454,0.0004671881476362656,0.0008632065120344833
TrnP,-0.052233810208429786,0.00046883525998106653,0.0008654409981163105
Calml4,-0.05201026376929425,0.0004958891417324971,0.0009145268966465921
Shroom2,-0.05194411756503667,0.0005041690178279696,0.0009289302406765106
Amot,-0.05177295477249187,0.0005261962892305317,0.0009686127223545261
Idi1,-0.05174708457177548,0.0005296025362171343,0.0009739760131174646
Adamts1,-0.05157382158919352,0.0005529503252148505,0.0010159691384291443
Hspb1,-0.05151362203293193,0.000561284312736688,0.0010303241283940875
Mrc1,-0.05117370112725899,0.0006105789559770179,0.001119772352473622
Ctsc,-0.05108637559251337,0.0006238775476174547,0.001143100937571555
Igsf8,-0.051064858833734794,0.0006271953957774474,0.0011481160161592716
Syce2,-0.05104966543038334,0.0006295480698617153,0.0011513566458063007
TrnV,-0.051005292308083476,0.000636466247592186,0.0011629332453694564
Clec7a,-0.05099675994852603,0.0006378045981769089,0.0011643025767273767
Gbp6,-0.050891466119542844,0.0006545373901530949,0.001193745775214639
Prelp,-0.05087538638304122,0.0006571283355975506,0.0011973665617293619
Elovl3,0.05082472826090616,0.0006653533985638211,0.0012112372642363483
Als2cl,-0.05074478167161866,0.0006785287540561885,0.0012340858755925342
Ltbp4,-0.050698714501982496,0.000686230406655436,0.0012469462444465046
Sod1,-0.05067453186916363,0.0006903057706877614,0.001253199732460702
Ccr5,-0.0506244191067251,0.0006988226769188012,0.001267497644283
Dbp,-0.05048913098660388,0.0007223055248790688,0.0013088891133693117
Acly,-0.05045969536747563,0.0007275109915994051,0.0013167661997313593
Plin2,0.05045702722432404,0.000727984550483751,0.0013167661997313593
TrnL1,-0.05035970610367828,0.0007454546308830074,0.0013471332771989996
Hbb-bt,-0.05029399712600187,0.0007574692870591178,0.0013675952333478318
Foxm1,-0.050259595067888636,0.000763831034937181,0.0013778229526193494
Tes,-0.05019196402447987,0.0007764824226971157,0.0013993671373493143
Pex11a,-0.050131189437488066,0.0007880168210314478,0.0014188608881413225
Lrrc8e,-0.05005557643412228,0.0008025893297731099,0.0014437844449148665
Trim59,-0.05000901890438235,0.0008116860685111422,0.0014588212340422982
Gstm6,-0.04993770769156018,0.0008258049445996626,0.0014828486607389036
Marcks,-0.049852789557493525,0.000842914846829433,0.0015121984139580661
Tubb2b,-0.04976983254325865,0.0008599464831680123,0.0015413546665667818
Hmgn2,-0.04976114195515002,0.000861749060246922,0.0015431864964747868
Col4a1,-0.049746567194260544,0.0008647799802767222,0.0015472126886941899
Rgs2,-0.04971818614876261,0.0008707103852842515,0.0015564144952142543
Tor4a,-0.04970801947961403,0.0008728439314762488,0.0015588188369724876
Rrm2,-0.049641664216068825,0.0008868884950776788,0.0015824716198272301
Ect2,-0.049462213361811884,0.0009259263643058315,0.0016506369902909185
Cdhr5,-0.049287871264546756,0.000965371702585894,0.001719405275686768
Axl,-0.04926487379016154,0.0009706895459647856,0.0017273206411992628
Pld4,-0.049198967626505316,0.0009860800145256913,0.0017531296661126724
Adgrl4,-0.04917379840196734,0.0009920169216228929,0.0017621001384083193
Scn1b,-0.04911751884471754,0.0010054120107002547,0.0017840467879278053
Gipc2,-0.0491143252175486,0.0010061771211631275,0.0017840467879278053
Fyb,-0.048972944834030155,0.0010405930739071278,0.001843416225012896
Rhoj,-0.0489235544264245,0.0010528705192469757,0.001863495986169446
Hbegf,-0.048818601201661004,0.0010794058397488341,0.0019087525448868022
Serpinb6b,-0.04869610129778178,0.0011111590104354266,0.0019631468843885956
Slc17a8,-0.048568955361976286,0.0011450278964786774,0.002021178706552094
